site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,country,region,year,date,depth (m),substrate_recorded_by,fish_recorded_by,inverts_recorded_by,team_leader,team_scientist
574e506b-1a79-44d5-857d-201ffbc46bdb,38de15fe-78ad-4510-9383-0fa4304ad382,156.2.5.9W.19.41.25.5N,Lead City/Freeze Face to Lone Tree,United States of America,Indo-Pacific,2008,06-December-08,12.0,"","","",Kara Osada-D'Avella,Kara Osada-D'Avella
fa1b9568-96dd-464c-9184-c223543a17ef,38e24191-d860-4760-b585-02bd3094a346,156.26.34.8W.20.40.15.6N,Palauea Beach,United States of America,Indo-Pacific,2001,15-August-01,7.0,"","","",Robin Newbold,Robin Newbold
ea82c8b7-001a-4876-bb85-6dc90f9a3ef9,391c8031-998e-42b7-ab1c-0a1d3e1ded5d,157.49.33.4W.21.28.14.2N,Kaneohe Bay Patch Reef Green 15 Channel Marker,United States of America,Indo-Pacific,2007,04-August-07,1.5,"","","",Gary Detriech,David Krupp
ae266dd6-cb4c-4bc2-9e98-d4d17da1553a,3a9dfd0b-0248-4db2-83b5-ae17aa89f59b,156.41.50.3W.20.55.42.4N,Kahekili Park (Old Airport Beach),United States of America,Indo-Pacific,2004,03-April-04,10.0,"","","",Robin Newbold,Robin Newbold
1d83bf56-299f-4c31-9ed4-cb22e28a0572,3d1cad70-eae9-44d3-a7ad-56463873d727,158.2.24.7W.21.40.36.8N,Sunset Point,United States of America,Indo-Pacific,2003,28-June-03,3.0,"","","",Shaunti Keihl,Mark Birch
f4562d30-694a-4243-9e7e-caafb42011c8,3dd19dd7-b106-4b0c-a59f-891fadb2864c,159.30.17.6W.22.13.27.0N,Hanalei,United States of America,Indo-Pacific,1997,14-June-97,5.0,"","","","",""
0b00d09e-726e-46f4-8b34-c83cbdb594de,40c93c5b-ffd5-4e96-80cd-697165926806,159.26.16.8W.22.13.30.0N,"Anini, Kauai",United States of America,Indo-Pacific,2000,06-May-00,2.0,"","","",Dave Raney,""
78a1dbb8-ec7d-4c18-872c-e5180835cd9c,41ecf368-d273-4b36-a605-82afa26a02a4,159.28.25.6W.21.52.52.0N,"Prince Kuhio Beach, Ho'ai Bay",United States of America,Indo-Pacific,2009,21-February-09,2.0,"","","",Linda Kosen,Stephanie Krieger
007eefec-06ec-4592-bb56-378734ecaabc,42aa4051-57a5-4048-9083-1c2491598b2d,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,United States of America,Indo-Pacific,2008,06-September-08,3.3,"","","",Kara Osada-D'Avella,Kara Osada-D'Avella
0b00d09e-726e-46f4-8b34-c83cbdb594de,4336f2ad-44ad-48b8-8e15-46cd4dc0e0ff,159.26.16.8W.22.13.30.0N,"Anini, Kauai",United States of America,Indo-Pacific,2007,15-September-07,1.0,"","","",Stephanie Krieger,Stephanie Krieger
5fe78e5b-cc11-432e-b233-2fdc181ddeae,47a411df-d1bc-4a15-b545-bd8d6b84bddf,156.26.19.8W.20.41.17.4N,Ulua Beach,United States of America,Indo-Pacific,2004,13-March-04,5.0,"","","",Robin Newbold,Robin Newbold
a77bc088-bccd-4126-aa74-55dcac2cdf56,4c708a3f-dbf6-4407-8df4-3ac644f0e1eb,156.59.28.2W.20.47.16.3N,Barge Harbor,United States of America,Indo-Pacific,2009,03-May-09,10.0,"","","",Jill Quaintance,Jill Quaintance
81ed48cd-335c-40a9-857d-5bff2b5e8fcc,4de476b1-22fb-49ea-8918-e6cefa414c25,156.26.7.2W.20.36.30.0N,Ahihi Cove,United States of America,Indo-Pacific,2003,30-November-03,2.2,"","","",Robin Newbold,Robin Newbold
